,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15
0.000,-98.27548078,-17.14912777,-7.384366688,-4.067475537,-2.850270193,-1.97247347,-1.705265464,-1.611740023,-1.391026824,-0.917457762,-0.569898578,-0.826872709,-0.794625658,-0.623480918,-0.900893099
0.004,-95.30688368,-14.88000466,-7.126313667,-3.536948575,-2.160461675,-1.808179267,-1.305247911,-1.338324472,-1.09904103,-0.900051567,-0.553466531,-0.796709365,-0.665252225,-0.617437845,-0.479397123
0.009,-91.81654824,-14.79964929,-6.891592606,-3.193662186,-2.09530379,-1.567238135,-1.291537901,-1.288968883,-0.918457493,-0.827564719,-0.5032684,-0.792300784,-0.610543554,-0.48015305,-0.469471396
0.013,-89.04138793,-13.5176293,-6.612579486,-2.951270932,-2.013954599,-1.539909458,-1.15094727,-1.279310987,-0.820265258,-0.755891879,-0.484646125,-0.772366919,-0.584179686,-0.477356171,-0.39577947
0.017,-81.86910283,-12.42822966,-6.590401083,-2.808922418,-1.754462337,-1.53952506,-1.145004823,-1.247249423,-0.769416019,-0.71984773,-0.480981768,-0.617459137,-0.560029121,-0.46659063,-0.379560202
0.021,-79.88776443,-11.82106096,-6.309444198,-2.733656076,-1.697267806,-1.33109085,-1.066880089,-1.13753203,-0.723330327,-0.703419703,-0.464176008,-0.600384683,-0.484209019,-0.464656059,-0.340139892
0.026,-79.50427369,-11.52413158,-6.142357153,-2.622714023,-1.694646963,-1.322973989,-1.020420493,-1.059971522,-0.720895713,-0.663212669,-0.446037136,-0.55998495,-0.465456933,-0.4320391,-0.338075238
0.030,-79.29045792,-11.32399555,-5.536119757,-2.411037553,-1.690709677,-1.314470366,-0.998536573,-0.988132045,-0.692626684,-0.637822212,-0.434435167,-0.522678619,-0.442935524,-0.420931902,-0.327880219
0.034,-78.84801509,-10.72358796,-5.224005983,-2.380924083,-1.675715603,-1.246908279,-0.947445356,-0.979465738,-0.691349802,-0.598986265,-0.433931984,-0.520509873,-0.438026295,-0.401867501,-0.320976051
0.038,-78.71886787,-10.69795975,-5.166544787,-2.22213427,-1.599488973,-1.232880171,-0.936128686,-0.954820505,-0.682981679,-0.590271153,-0.413114309,-0.505743424,-0.418065667,-0.394398862,-0.306552779
0.043,-78.61576429,-10.56905572,-4.979402828,-2.139305611,-1.591291706,-1.229711463,-0.890825515,-0.917087196,-0.617060916,-0.577296441,-0.40010605,-0.476412827,-0.410211502,-0.385590841,-0.291314888
0.047,-76.00075839,-10.19316542,-4.965287725,-2.041370553,-1.495379228,-1.208192749,-0.87877041,-0.909499838,-0.573321112,-0.562456023,-0.395121809,-0.414198071,-0.405709715,-0.37530665,-0.281714057
0.051,-72.60622222,-10.05218114,-4.580120184,-1.966651464,-1.465263665,-1.184731087,-0.87430659,-0.887613057,-0.540465959,-0.519438181,-0.3941609,-0.384840914,-0.404938672,-0.373839078,-0.276038205
0.055,-71.85176167,-10.04994083,-4.575766639,-1.903603047,-1.453596654,-1.018573468,-0.86487705,-0.784114934,-0.530500238,-0.519263012,-0.391536933,-0.383478405,-0.39130577,-0.367552263,-0.261043809
0.060,-71.77971213,-9.98318952,-4.571356916,-1.84847913,-1.422621296,-0.991472128,-0.84804208,-0.740481141,-0.510412813,-0.495671107,-0.38267358,-0.383037586,-0.380076886,-0.363758608,-0.257343609
0.064,-69.60498095,-9.88793709,-4.416195439,-1.820160744,-1.379510149,-0.980626084,-0.837387467,-0.713384269,-0.509182387,-0.493679525,-0.374093509,-0.371510673,-0.370347467,-0.359725767,-0.251835466
0.068,-69.51920538,-9.807562853,-4.387618703,-1.803648147,-1.337707395,-0.968675913,-0.792892239,-0.665432871,-0.498072557,-0.492637349,-0.372034566,-0.351362302,-0.362579257,-0.357635608,-0.25180277
0.072,-69.34027792,-9.63650071,-4.344492573,-1.795253232,-1.309229077,-0.956354672,-0.763841133,-0.656558001,-0.49117721,-0.491976077,-0.368688706,-0.344258829,-0.343080271,-0.355489898,-0.244255516
